Name, number_stars,  s01,  s02,  s03,  s04,  s05,  s06,  s07,  s08,  s09,  s10,  s11,  s12,  s13,  s14,  s15,  s16,  s17,  s18,  s19,  s20,  s21,  s22,  s23,  s24,  s25,  s26,  s27,  s28,  s29,  s30, s31
Andromeda, 20, 8961, 8976, 8965, 8762, 8965,   68,  165,   15,  165,  163,  215,  163,  165,  337,  603,  337,  464,  337,  269,  226,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Antlia,  5, 4273, 4104, 3871, 3765, 4104,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Apus,  4, 5470, 6020, 6102, 6163,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Aquila, 12, 7602, 7557, 7525, 7377, 7235, 7377, 7570, 7710, 7570, 7377, 7236, 7193,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Aquarius, 15, 8812, 8841, 8834, 8597, 8518, 8698, 8709, 8698, 8518, 8499, 8418, 8499, 8518, 8414, 8232,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Ara, 8, 6743, 6510, 6285, 6229, 6500, 6462, 6461, 6743,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Aries,  6,  951,  888,  838,  617,  553,  546,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Auriga,  7, 1708, 2088, 2095, 1791, 1577, 1612, 1708,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Bootes, 17, 5435, 5429, 5340, 5477, 5340, 5235, 5200, 5235, 5340, 5506, 5681, 5602, 5435, 5351, 5404, 5329, 5351,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Canis Major, 23, 2596, 2574, 2657, 2596, 2491, 2294, 2491, 2429, 2414, 2429, 2580, 2646, 2618, 2282, 2618, 2646, 2693, 2749, 2827, 2749, 2693, 2653, 2491,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Canis Minor,  2, 2943, 2845,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Canes Venatici,  2, 4915, 4785,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Caelum,  3, 1443, 1502, 1503,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Camelopardalis,  12, 1686, 1148, 1542, 1204, 1035, 1148,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Capricornus, 11, 7754, 7776, 7936, 7980, 8204, 8278, 8322, 8278, 8167, 8075, 7776,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Carina, 11, 2326, 2554, 3117, 3307, 3699, 4050, 4140, 4199, 4037, 3685, 3890,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Cassiopeia,  5,  542,  403,  264,  168,   21,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Centaurus, 23, 4467, 4460, 4621, 4743, 4819, 5231, 5132, 5267, 5459, 5267, 5132, 5231, 5249, 5193, 5440, 5576, 5440, 5193, 5190, 5288, 5190, 5089, 5028,     ,     ,     ,     
